parent_sample	median_of_depth_bin	sensitivity
TH_Eval_014	1	0.8532608695652174
TH_Eval_014	4	0.907608695652174
TH_Eval_014	8	0.9402173913043478
TH_Eval_014	12	0.9510869565217391
TH_Eval_014	16	0.967391304347826
TH_Eval_014	20	0.9619565217391305
TH_Eval_014	24	0.9456521739130435
TH_Eval_014	28	0.9402173913043478
TH_Eval_014	32	0.9510869565217391
TH_Eval_014	36	0.9293478260869565
TH_Eval_014	40	0.9728260869565217
TH_Eval_014	44	0.9565217391304348
TH_Eval_014	48	0.9456521739130435
TH_Eval_015	1	0.8362068965517241
TH_Eval_015	4	0.9396551724137931
TH_Eval_015	8	0.9224137931034483
TH_Eval_015	12	0.896551724137931
TH_Eval_015	16	0.9568965517241379
TH_Eval_015	20	0.9051724137931034
TH_Eval_015	24	0.9396551724137931
TH_Eval_015	28	0.9482758620689655
TH_Eval_015	32	0.9655172413793104
TH_Eval_015	36	0.9655172413793104
TH_Eval_015	40	0.9396551724137931
TH_Eval_015	44	0.9655172413793104
TH_Eval_015	48	0.9655172413793104
TH_Eval_016	1	0.839572192513369
TH_Eval_016	4	0.9064171122994652
TH_Eval_016	8	0.9010695187165776
TH_Eval_016	12	0.9331550802139037
TH_Eval_016	16	0.9331550802139037
TH_Eval_016	20	0.9171122994652406
TH_Eval_016	24	0.9331550802139037
TH_Eval_016	28	0.9438502673796791
TH_Eval_016	32	0.9411764705882353
TH_Eval_016	36	0.9358288770053476
TH_Eval_016	40	0.9278074866310161
TH_Eval_016	44	0.9411764705882353
TH_Eval_016	48	0.9438502673796791
TH_Eval_018	1	0.8582677165354331
TH_Eval_018	4	0.8937007874015748
TH_Eval_018	8	0.8937007874015748
TH_Eval_018	12	0.9251968503937008
TH_Eval_018	16	0.9606299212598425
TH_Eval_018	20	0.9173228346456693
TH_Eval_018	24	0.9330708661417323
TH_Eval_018	28	0.9212598425196851
TH_Eval_018	32	0.9448818897637795
TH_Eval_018	36	0.952755905511811
TH_Eval_018	40	0.9212598425196851
TH_Eval_018	44	0.9330708661417323
TH_Eval_018	48	0.9173228346456693
TH_Eval_019	1	0.7988165680473372
TH_Eval_019	4	0.9112426035502958
TH_Eval_019	8	0.9349112426035503
TH_Eval_019	12	0.9230769230769231
TH_Eval_019	16	0.9171597633136095
TH_Eval_019	20	0.8994082840236687
TH_Eval_019	24	0.9171597633136095
TH_Eval_019	28	0.9349112426035503
TH_Eval_019	32	0.9467455621301775
TH_Eval_019	36	0.9112426035502958
TH_Eval_019	40	0.9171597633136095
TH_Eval_019	44	0.9230769230769231
TH_Eval_019	48	0.9467455621301775
