median_of_depth_bin	sensitivity	specificity
1	0.8648648648648649	0.9822277030212905
4	0.944206008583691	0.9917120103780044
8	0.9570815450643777	0.99423444200209
12	0.9742489270386266	0.9963730006165898
16	0.9805194805194806	0.9952849008015668
20	0.961038961038961	0.9981982631256532
24	0.9798270893371758	0.997461100431613
28	0.9805194805194806	0.9974036571343793
32	0.9871244635193133	0.9974775683759144
36	0.990990990990991	0.9985586105005225
40	0.9914163090128756	0.9988872816290197
44	1	0.998549200246636
48	0.9957081545064378	0.998911900184977
